# opt_chain ASML | epoch 1786020334 | 2026-08-06 08:45:34 | spot 1697.36 | exps 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 993 | band 0.4050 vencimientos 3 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
1240.00 C 20260807 -1.00 -1.00 2 4 -1.0000 -1.0000 -1.000000
1245.00 C 20260807 -1.00 -1.00 2 3 -1.0000 -1.0000 -1.000000
1250.00 C 20260807 -1.00 -1.00 2 3 -1.0000 -1.0000 -1.000000
1255.00 C 20260807 -1.00 -1.00 2 3 -1.0000 -1.0000 -1.000000
1260.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
1265.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
1270.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
1275.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
1280.00 C 20260807 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
1285.00 C 20260807 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
1290.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
1295.00 C 20260807 -1.00 -1.00 1 2 -1.0000 -1.0000 -1.000000
1300.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
1305.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
1310.00 C 20260807 -1.00 -1.00 5 5 -1.0000 -1.0000 -1.000000
1315.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
1320.00 C 20260807 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
1325.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
1330.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
1335.00 C 20260807 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
1340.00 C 20260807 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
1345.00 C 20260807 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
1350.00 C 20260807 -1.00 -1.00 10 7 -1.0000 -1.0000 -1.000000
1355.00 C 20260807 -1.00 -1.00 5 6 -1.0000 -1.0000 -1.000000
1360.00 C 20260807 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
1365.00 C 20260807 -1.00 -1.00 5 5 -1.0000 -1.0000 -1.000000
1370.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
1375.00 C 20260807 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
1380.00 C 20260807 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
1385.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
1390.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
1395.00 C 20260807 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
1400.00 C 20260807 -1.00 -1.00 1 6 -1.0000 -1.0000 -1.000000
1405.00 C 20260807 -1.00 -1.00 1 9 -1.0000 -1.0000 -1.000000
1410.00 C 20260807 -1.00 -1.00 1 2 -1.0000 -1.0000 -1.000000
1415.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
1420.00 C 20260807 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
1425.00 C 20260807 -1.00 -1.00 6 5 -1.0000 -1.0000 -1.000000
1430.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
1435.00 C 20260807 -1.00 -1.00 1 6 -1.0000 -1.0000 -1.000000
1440.00 C 20260807 -1.00 -1.00 2 3 -1.0000 -1.0000 -1.000000
1445.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
1450.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
1455.00 C 20260807 -1.00 -1.00 1 0 -1.0000 -1.0000 -1.000000
1460.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
1465.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
1470.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
1475.00 C 20260807 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
1480.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
1485.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
1490.00 C 20260807 -1.00 -1.00 1 6 -1.0000 -1.0000 -1.000000
1495.00 C 20260807 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
1500.00 C 20260807 -1.00 -1.00 10 17 -1.0000 -1.0000 -1.000000
1505.00 C 20260807 -1.00 -1.00 8 14 -1.0000 -1.0000 -1.000000
1510.00 C 20260807 -1.00 -1.00 8 6 -1.0000 -1.0000 -1.000000
1515.00 C 20260807 -1.00 -1.00 8 9 -1.0000 -1.0000 -1.000000
