# opt_chain NOK | epoch 1785991000 | 2026-08-06 00:36:40 | spot 9.57 | spot_src intrinio_quote | spot_age 16760 | exps 20260807 20260814 20260821 20260828
# fuente polygon | band 0.1500 | max_strikes 48 | narrow 0 | vencimientos 4 | rows 48 | greeks_ok_pct 0.9792 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
8.50 C 20260807 -1.00 -1.00 102 715 -1.0000 -1.0000 -1.000000
9.00 C 20260807 -1.00 -1.00 452 5435 0.9983 0.8186 0.395134
9.50 C 20260807 -1.00 -1.00 485 9472 0.8461 0.5610 0.698898
10.00 C 20260807 -1.00 -1.00 8190 17524 0.8834 0.2472 0.541160
10.50 C 20260807 -1.00 -1.00 1458 14547 0.9489 0.0860 0.247097
11.00 C 20260807 -1.00 -1.00 1176 13481 1.1591 0.0468 0.125112
8.50 P 20260807 -1.00 -1.00 406 5872 1.0460 -0.0488 0.143902
9.00 P 20260807 -1.00 -1.00 1908 15456 0.8279 -0.1367 0.398398
9.50 P 20260807 -1.00 -1.00 1856 1674 0.7920 -0.4364 0.745703
10.00 P 20260807 -1.00 -1.00 417 2838 0.8863 -0.7521 0.540513
10.50 P 20260807 -1.00 -1.00 97 565 0.7830 -0.9522 0.190124
11.00 P 20260807 -1.00 -1.00 30 483 0.6786 -0.9996 0.006836
8.50 C 20260814 -1.00 -1.00 809 1221 0.7727 0.8535 0.200704
9.00 C 20260814 -1.00 -1.00 125 6362 0.7313 0.7253 0.308756
9.50 C 20260814 -1.00 -1.00 309 6035 0.7060 0.5493 0.382812
10.00 C 20260814 -1.00 -1.00 1497 11056 0.7221 0.3681 0.358345
10.50 C 20260814 -1.00 -1.00 1240 6908 0.7461 0.2285 0.276552
11.00 C 20260814 -1.00 -1.00 546 4450 0.7748 0.1347 0.190661
8.50 P 20260814 -1.00 -1.00 143 2428 0.6782 -0.1159 0.197165
9.00 P 20260814 -1.00 -1.00 258 6050 0.6766 -0.2611 0.325741
9.50 P 20260814 -1.00 -1.00 473 1861 0.6686 -0.4501 0.404423
10.00 P 20260814 -1.00 -1.00 172 1602 0.6902 -0.6392 0.371996
10.50 P 20260814 -1.00 -1.00 50 388 0.6452 -0.8087 0.286934
11.00 P 20260814 -1.00 -1.00 1 370 0.6979 -0.8913 0.182148
8.50 C 20260821 -1.00 -1.00 14 273 0.7360 0.8046 0.191041
9.00 C 20260821 -1.00 -1.00 67 2614 0.7168 0.6883 0.251771
9.50 C 20260821 -1.00 -1.00 58 4366 0.6917 0.5500 0.291999
10.00 C 20260821 -1.00 -1.00 2798 26879 0.7046 0.4110 0.281001
10.50 C 20260821 -1.00 -1.00 1388 19607 0.6934 0.2846 0.248109
11.00 C 20260821 -1.00 -1.00 558 38886 0.7300 0.2015 0.194359
8.50 P 20260821 -1.00 -1.00 72 28788 0.6839 -0.1812 0.195641
9.00 P 20260821 -1.00 -1.00 2247 25227 0.6641 -0.3019 0.267427
9.50 P 20260821 -1.00 -1.00 2128 2181 0.6605 -0.4498 0.306246
10.00 P 20260821 -1.00 -1.00 32 10244 0.6810 -0.5940 0.290924
10.50 P 20260821 -1.00 -1.00 15 2446 0.6883 -0.7174 0.250126
11.00 P 20260821 -1.00 -1.00 28 10684 0.6973 -0.8122 0.196395
8.50 C 20260828 -1.00 -1.00 60 1193 0.9691 0.7295 0.143684
9.00 C 20260828 -1.00 -1.00 44 360 0.7036 0.6713 0.219030
9.50 C 20260828 -1.00 -1.00 196 1669 0.7133 0.5529 0.235668
10.00 C 20260828 -1.00 -1.00 204 1114 0.7102 0.4384 0.233957
10.50 C 20260828 -1.00 -1.00 346 1263 0.7209 0.3376 0.213376
11.00 C 20260828 -1.00 -1.00 242 3468 0.7472 0.2550 0.183325
8.50 P 20260828 -1.00 -1.00 367 572 0.6599 -0.2073 0.185150
9.00 P 20260828 -1.00 -1.00 182 515 0.6948 -0.3265 0.222007
9.50 P 20260828 -1.00 -1.00 48 501 0.6898 -0.4469 0.244228
10.00 P 20260828 -1.00 -1.00 43 926 0.6933 -0.5645 0.240145
10.50 P 20260828 -1.00 -1.00 6 299 0.6969 -0.6698 0.219530
11.00 P 20260828 -1.00 -1.00 11 801 0.3868 -0.9241 0.166782
