# opt_chain XLK | epoch 1785958339 | 2026-08-05 15:32:19 | spot 187.56 | exps 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 138 | band 0.4050 vencimientos 3 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
140.00 C 20260807 -1.00 -1.00 2 2 -1.0000 -1.0000 -1.000000
143.00 C 20260807 -1.00 -1.00 9 14 -1.0000 -1.0000 -1.000000
144.00 C 20260807 -1.00 -1.00 10 11 -1.0000 -1.0000 -1.000000
145.00 C 20260807 -1.00 -1.00 3 16 -1.0000 -1.0000 -1.000000
146.00 C 20260807 -1.00 -1.00 25 55 -1.0000 -1.0000 -1.000000
147.00 C 20260807 -1.00 -1.00 27 68 -1.0000 -1.0000 -1.000000
148.00 C 20260807 -1.00 -1.00 6 21 -1.0000 -1.0000 -1.000000
149.00 C 20260807 -1.00 -1.00 15 10 -1.0000 -1.0000 -1.000000
150.00 C 20260807 -1.00 -1.00 22 26 -1.0000 -1.0000 -1.000000
151.00 C 20260807 -1.00 -1.00 10 24 -1.0000 -1.0000 -1.000000
152.00 C 20260807 -1.00 -1.00 12 116 -1.0000 -1.0000 -1.000000
152.50 C 20260807 -1.00 -1.00 25 123 -1.0000 -1.0000 -1.000000
153.00 C 20260807 -1.00 -1.00 17 15 -1.0000 -1.0000 -1.000000
154.00 C 20260807 -1.00 -1.00 2 11 -1.0000 -1.0000 -1.000000
155.00 C 20260807 -1.00 -1.00 4 31 -1.0000 -1.0000 -1.000000
156.00 C 20260807 -1.00 -1.00 4 28 -1.0000 -1.0000 -1.000000
157.00 C 20260807 -1.00 -1.00 16 70 -1.0000 -1.0000 -1.000000
157.50 C 20260807 -1.00 -1.00 20 65 -1.0000 -1.0000 -1.000000
158.00 C 20260807 -1.00 -1.00 6 34 -1.0000 -1.0000 -1.000000
159.00 C 20260807 -1.00 -1.00 3 15 -1.0000 -1.0000 -1.000000
160.00 C 20260807 -1.00 -1.00 3 13 -1.0000 -1.0000 -1.000000
161.00 C 20260807 -1.00 -1.00 5 6 -1.0000 -1.0000 -1.000000
162.00 C 20260807 -1.00 -1.00 7 6 -1.0000 -1.0000 -1.000000
